objectid,filename,youtubeid,vimeoid,title,creator,date,description,subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement
01-Slugs,01-Slugs.jpg,,,Slugs,Matt Bodett,2025,"Image of two arms crossed, with letters, doodles, and a womens face.",,,,,Ewing Gallery,,Image,image/jpg,eng,Ewing Gallery,
02-I-Need-You,02-I-Need-You.jpg,,,I Need You,Matt Bodett,2025,"An image with a hand reaching out, doodles, patterns, and the words 'I need you""",,,,,Ewing Gallery,,Image,image/jpg,eng,Ewing Gallery,
03-Kaleidoscope,03-Kaleidoscope.jpg,,,Kaleidoscope,Elizabeth Jameson,2010,"Three images with lines, squares, abstract shapes and many colors.",,,,,Ewing Gallery,,Image,image/jpg,eng,Ewing Gallery,
04-Sun-and-Moon,04-Sun-and-Moon.jpg,,,Sun and Moon,Elizabeth Jameson,2009,Image inspired by a moon and a sun.,,,,,Ewing Gallery,,Image,image/jpg,eng,Ewing Gallery,
05-Valentine,05-Valentine.jpg,,,Valentine,Elizabeth Jameson,2009,Image of bright colors all flowind into eachother.,,,,,Ewing Gallery,,image,image/jpg,eng,Ewing Gallery,
